"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"danny manning",1989,2003,"F-C","6-10",230,"May 17, 1966","University of Kansas"
"ed manning",1968,1976,"F","6-7",210,"January 2, 1944","Jackson State University"
"guy manning",1968,1969,"F","6-6",195,"February 4, 1944","Prairie View A&M University"
"rich manning",1996,1997,"C","6-11",253,"June 23, 1970","Syracuse University, University of Washington"
"pace mannion",1984,1989,"G","6-7",190,"September 22, 1960","University of Utah"
"nick mantis",1960,1963,"G","6-3",190,"December 7, 1935","Northwestern University"
"pete maravich",1971,1980,"G","6-5",197,"June 22, 1947","Louisiana State University"
"press maravich",1947,1947,"G","6-0",185,"August 20, 1920","Davis & Elkins College"
"devyn marble",2015,2016,"G-F","6-6",200,"September 21, 1992","University of Iowa"
"roy marble",1990,1994,"G-F","6-6",190,"December 13, 1966","University of Iowa"
"stephon marbury",1997,2009,"G","6-2",180,"February 20, 1977","Georgia Institute of Technology"
"sarunas marciulionis",1990,1997,"G","6-5",200,"June 13, 1964",""
"saul mariaschin",1948,1948,"G","5-11",165,"September 1, 1924","Harvard University"
"jack marin",1967,1977,"F-G","6-7",200,"October 12, 1944","Duke University"
"shawn marion",2000,2015,"F","6-7",220,"May 7, 1978","University of Nevada, Las Vegas"
"boban marjanovic",2016,2018,"C","7-3",290,"August 15, 1988",""
"lauri markkanen",2018,2018,"F-C","7-0",230,"May 22, 1997","University of Arizona"
"damir markota",2007,2007,"C","6-10",225,"December 26, 1985",""
"sean marks",1999,2011,"F-C","6-10",250,"August 23, 1975","University of California"
"harvey marlatt",1971,1973,"G","6-3",185,"August 26, 1948","Eastern Michigan University"
"jim marsh",1972,1972,"F","6-7",215,"April 26, 1946","University of Southern California"
"ricky marsh",1978,1978,"G","6-3",200,"March 10, 1954","Manhattan College"
"donny marshall",1996,2003,"F","6-7",230,"July 17, 1972","University of Connecticut"
"donyell marshall",1995,2009,"F","6-9",218,"May 18, 1973","University of Connecticut"
"kendall marshall",2013,2016,"G","6-4",200,"August 19, 1991","University of North Carolina"
"rawle marshall",2006,2007,"G-F","6-9",190,"February 20, 1982","Ball State University, Oakland University"
"tom marshall",1955,1959,"F-G","6-4",215,"January 6, 1931","Western Kentucky University"
"vester marshall",1974,1974,"F","6-7",200,"December 22, 1948","University of Oklahoma"
"bill martin",1986,1988,"F","6-7",205,"August 16, 1962","Georgetown University"
"bob martin",1994,1995,"C","7-0",250,"October 7, 1969","University of Minnesota"
"brian martin",1986,1986,"F","6-9",212,"August 18, 1962","University of Kansas"
"cartier martin",2009,2015,"F","6-7",220,"November 20, 1984","Kansas State University"
"cuonzo martin",1996,1997,"G-F","6-5",213,"September 23, 1971","Purdue University"
"darrick martin",1995,2008,"G","5-11",170,"March 6, 1971","University of California, Los Angeles"
"dino martin",1947,1948,"G","5-8",160,"May 25, 1920","Georgetown University"
"don martin",1947,1949,"C-F","6-7",210,"February 7, 1920","Central Missouri State University"
"fernando martin",1987,1987,"C","6-9",220,"March 25, 1962",""
"jarell martin",2016,2018,"F","6-10",239,"May 24, 1994","Louisiana State University"
"jeff martin",1990,1991,"G","6-5",195,"January 14, 1967","Murray State University"
"kenyon martin",2001,2015,"F","6-9",234,"December 30, 1977","University of Cincinnati"
"kevin martin",2005,2016,"G","6-7",199,"February 1, 1983","Western Carolina University"
"larue martin",1973,1976,"C","6-11",208,"March 30, 1950","Loyola University of Chicago"
"maurice martin",1987,1988,"F-G","6-6",200,"July 2, 1964","Saint Joseph's University"
"phil martin",1955,1955,"G","6-3",190,"April 2, 1928","University of Toledo"
"slater martin",1950,1960,"G","5-10",170,"October 22, 1925","University of Texas at Austin"
"whitey martin",1962,1962,"G","6-2",185,"April 11, 1939","St. Bonaventure University"
"jamal mashburn",1994,2004,"F","6-8",240,"November 29, 1972","University of Kentucky"
"al masino",1953,1954,"G","5-10",174,"February 5, 1928","Canisius College"
"anthony mason",1990,2003,"F","6-7",250,"December 14, 1966","Tennessee State University"
"desmond mason",2001,2010,"F","6-7",224,"October 11, 1977","Oklahoma State University"
"frank mason",2018,2018,"G","6-0",189,"April 3, 1994","University of Kansas"
"roger mason",2003,2014,"G","6-5",200,"September 10, 1980","University of Virginia"
"tony massenburg",1991,2005,"F","6-9",220,"July 31, 1967","University of Maryland"
"eddie mast",1971,1973,"F-C","6-9",220,"October 3, 1948","Temple University"
"mangok mathiang",2018,2018,"C-F","6-10",230,"October 8, 1992","University of Louisville"
"johnny mathis",1968,1968,"F","6-6",220,"July 14, 1943","Savannah State University"
"wes matthews",1981,1990,"G","6-1",170,"August 24, 1959","University of Wisconsin"
"wesley matthews",2010,2018,"G","6-5",220,"October 14, 1986","Marquette University"
"ariel maughan",1947,1951,"F","6-4",190,"February 23, 1923","Utah State University"
"marlon maxey",1993,1994,"F","6-8",250,"February 19, 1969","University of Minnesota, University of Texas at El Paso"
"jason maxiell",2006,2015,"F","6-7",260,"February 18, 1983","University of Cincinnati"
"cedric maxwell",1978,1988,"F","6-8",205,"November 21, 1955","University of North Carolina at Charlotte"
"vernon maxwell",1989,2001,"G","6-4",180,"September 12, 1965","University of Florida"
"don may",1969,1975,"F","6-4",200,"January 3, 1946","University of Dayton"
"scott may",1977,1983,"F","6-7",215,"March 19, 1954","Indiana University"
"sean may",2006,2010,"F","6-9",266,"April 4, 1984","University of North Carolina"
"lee mayberry",1993,1999,"G","6-1",172,"June 12, 1970","University of Arkansas"
"clyde mayes",1976,1977,"F","6-8",225,"March 17, 1953","Furman University"
"tharon mayes",1992,1992,"G","6-3",175,"September 9, 1968","Florida State University"
"bill mayfield",1981,1981,"F","6-7",205,"October 17, 1957","University of Iowa"
"ken mayfield",1976,1976,"G","6-2",185,"May 11, 1948","Tuskegee University"
"eric maynor",2010,2014,"G","6-3",175,"June 11, 1987","Virginia Commonwealth University"
"oj mayo",2009,2016,"G","6-5",210,"November 5, 1987","University of Southern California"
"travis mays",1991,1993,"G","6-2",190,"June 19, 1968","University of Texas at Austin"
"matt mazza",1950,1950,"F","6-3",210,"September 23, 1923","Michigan State University"
"luc mbah a moute",2009,2018,"F","6-8",230,"September 9, 1986","University of California, Los Angeles"
"bob mcadoo",1973,1986,"C-F","6-9",210,"September 25, 1951","University of North Carolina"
"james michael mcadoo",2015,2018,"F","6-9",230,"January 4, 1993","University of North Carolina"
"ken mcbride",1955,1955,"G-F","6-3",190,"","University of Maryland Eastern Shore"
"ray mccallum",2014,2016,"G","6-3",190,"June 12, 1991","University of Detroit Mercy"
"bob mccann",1990,1998,"F","6-6",244,"April 22, 1964","Upsala College, Morehead State University"
"brendan mccann",1958,1960,"G","6-2",178,"July 5, 1935","St. Bonaventure University"
"mel mccants",1990,1990,"F","6-8",240,"August 19, 1967","Purdue University"
"rashad mccants",2006,2009,"G","6-4",207,"September 25, 1984","University of North Carolina"
"mike mccarron",1947,1950,"G","5-11",180,"March 2, 1922","Seton Hall University"
"andre mccarter",1977,1981,"G","6-3",190,"August 25, 1953","University of California, Los Angeles"
"willie mccarter",1970,1972,"G","6-3",175,"July 26, 1946","Drake University"
"johnny mccarthy",1957,1964,"G","6-1",185,"April 25, 1934","Canisius College"
"howie mccarty",1947,1947,"F-G","6-2",190,"","Wayne State University"
"kelly mccarty",1999,1999,"G-F","6-7",200,"August 24, 1975","University of Southern Mississippi"
"walter mccarty",1997,2006,"F","6-10",230,"February 1, 1974","University of Kentucky"
"amal mccaskill",1997,2004,"F-C","6-11",235,"October 28, 1973","Marquette University"
"patrick mccaw",2017,2018,"G","6-7",185,"October 25, 1995","University of Nevada, Las Vegas"
"dwayne mcclain",1986,1986,"G","6-6",185,"February 7, 1963","Villanova University"
"ted mcclain",1972,1979,"G","6-1",180,"August 30, 1946","Tennessee State University"
"dan mcclintock",2001,2001,"C","7-0",270,"April 19, 1977","Northern Arizona University"
"jack mccloskey",1953,1953,"G","6-2",190,"September 19, 1925","University of Pennsylvania"
"george mccloud",1990,2002,"G-F","6-6",205,"May 27, 1967","Florida State University"
"cj mccollum",2014,2018,"G","6-3",190,"September 19, 1991","Lehigh University"
"john mcconathy",1952,1952,"F","6-5",195,"April 9, 1930","Northwestern State University"
"bucky mcconnell",1953,1953,"G","5-10",170,"July 1, 1928","Marshall University"
"tj mcconnell",2016,2018,"G","6-2",200,"March 25, 1992","Duquesne University, University of Arizona"
"keith mccord",1981,1981,"G","6-7",210,"June 22, 1957","University of Alabama, University of Alabama at Birmingham"
"tim mccormick",1985,1992,"C","6-11",240,"March 10, 1962","University of Michigan"
"jelani mccoy",1999,2008,"C","6-10",245,"December 6, 1977","University of California, Los Angeles"
"paul mccracken",1973,1977,"G","6-4",180,"September 11, 1950","California State University, Northridge"
"chris mccray",2007,2007,"G","6-5",192,"May 27, 1984","University of Maryland"
"rodney mccray",1984,1993,"F-G","6-7",220,"August 29, 1961","University of Louisville"
"scooter mccray",1984,1987,"F-G","6-9",215,"February 8, 1960","University of Louisville"
"erik mccree",2018,2018,"F","6-8",225,"December 20, 1993","Louisiana Tech University"
"chris mccullough",2016,2018,"F","6-11",200,"February 5, 1995","Syracuse University"
"john mccullough",1982,1982,"G","6-4",190,"October 5, 1956","University of Oklahoma"
"clint mcdaniel",1996,1996,"G","6-4",180,"February 26, 1972","University of Arkansas"
"xavier mcdaniel",1986,1998,"F","6-7",205,"June 4, 1963","Wichita State University"
"jim mcdaniels",1972,1978,"C-F","6-11",228,"April 2, 1948","Western Kentucky University"
"kj mcdaniels",2015,2017,"G-F","6-6",205,"February 9, 1993","Clemson University"
"doug mcdermott",2015,2018,"F","6-8",225,"January 3, 1992","Creighton University"
"ben mcdonald",1986,1989,"F","6-8",210,"July 20, 1962","University of California, Irvine"
"glenn mcdonald",1975,1977,"F-G","6-6",190,"March 18, 1952","California State University, Long Beach"
"michael mcdonald",1998,1998,"C","6-10",232,"February 13, 1969","Utah Valley State College, University of New Orleans"
"roderick mcdonald",1971,1973,"F","6-6",205,"April 9, 1945","Whitworth"
"hank mcdowell",1982,1987,"F-C","6-9",215,"November 13, 1959","University of Memphis"
"antonio mcdyess",1996,2011,"F-C","6-9",220,"September 7, 1974","University of Alabama"
"jim mcelroy",1976,1982,"G","6-3",190,"October 4, 1953","Central Michigan University"
"patrick mcfarland",1974,1976,"F-G","6-5",185,"December 7, 1951","Saint Joseph's University"
"ivan mcfarlin",2007,2007,"F","6-8",240,"April 26, 1982","Oklahoma State University"
"mel mcgaha",1949,1949,"G","6-1",190,"September 26, 1926","University of Arkansas"
"mitch mcgary",2015,2016,"F-C","6-10",255,"June 6, 1992","University of Michigan"
"javale mcgee",2009,2018,"C","7-0",270,"January 19, 1988","University of Nevada, Reno"
"mike mcgee",1982,1990,"G-F","6-5",190,"July 29, 1959","University of Michigan"
"bill mcgill",1963,1970,"C-F","6-9",225,"September 16, 1939","University of Utah"
"george mcginnis",1972,1982,"F-C","6-8",235,"August 12, 1950","Indiana University"
"jon mcglocklin",1966,1976,"G-F","6-5",205,"June 10, 1943","Indiana University"
"tracy mcgrady",1998,2012,"F-G","6-8",210,"May 24, 1979",""
"gil mcgregor",1972,1972,"F","6-8",240,"June 14, 1949","Wake Forest University"
"elton mcgriff",1968,1969,"C","6-9",225,"August 21, 1942","Creighton University"
"rodney mcgruder",2017,2018,"G","6-4",205,"July 29, 1991","Kansas State University"
"alfred mcguire",1952,1955,"G-F","6-2",180,"September 7, 1928","St. John's University"
"allie mcguire",1974,1974,"G","6-3",175,"July 10, 1951","Marquette University"
"dick mcguire",1950,1960,"G","6-0",180,"January 25, 1926","St. John's University"
"dominic mcguire",2008,2013,"F","6-9",220,"October 20, 1985","University of California, California State University, Fresno"
"kevin mchale",1981,1993,"F-C","6-10",210,"December 19, 1957","University of Minnesota"
"maurice mchartley",1968,1970,"G-F","6-3",185,"August 1, 1942","North Carolina Agricultural and Technical State University"
"jim mcilvaine",1995,2001,"C","7-1",240,"July 30, 1972","Marquette University"
"jeff mcinnis",1997,2008,"G","6-4",190,"October 22, 1974","University of North Carolina"
"kenny mcintosh",1972,1975,"F","6-7",225,"January 21, 1949","Eastern Michigan University"
"bob mcintyre",1968,1970,"F","6-6",215,"January 23, 1944","St. John's University"
"jerry mckee",1970,1970,"G","6-3",190,"August 4, 1946","Ohio University"
"kevin mckenna",1982,1988,"G-F","6-5",195,"January 8, 1959","Creighton University"
"forrest mckenzie",1987,1987,"F","6-7",200,"February 16, 1963","Loyola Marymount University"
"stan mckenzie",1968,1974,"F-G","6-5",195,"October 6, 1944","New York University"
"derrick mckey",1988,2002,"F-C","6-9",205,"October 10, 1966","University of Alabama"
"aaron mckie",1995,2007,"G","6-5",209,"October 2, 1972","Temple University"
"billy mckinney",1979,1986,"G","6-0",160,"June 5, 1955","Northwestern University"
"bones mckinney",1947,1952,"F-C","6-6",185,"January 1, 1919","University of North Carolina"
"carlton mckinney",1990,1992,"G","6-4",190,"October 21, 1964","University of Tulsa, Southern Methodist University"
"trey mckinney jones",2018,2018,"G","6-5",214,"August 27, 1990","University of Miami"
"alfonzo mckinnie",2018,2018,"F","6-8",215,"September 17, 1992","University of Wisconsin-Green Bay"
"ben mclemore",2014,2018,"G","6-5",195,"February 11, 1993","University of Kansas"
"mccoy mclemore",1965,1972,"F-C","6-7",230,"April 3, 1942","Drake University"
"george mcleod",1953,1953,"F","6-5",200,"January 3, 1931","Texas Christian University"
"keith mcleod",2004,2007,"G","6-2",188,"November 5, 1979","Bowling Green State University"
"roshown mcleod",1999,2001,"F","6-8",221,"November 17, 1975","St. John's University, Duke University"
"jack mcmahon",1953,1960,"G","6-1",185,"December 3, 1928","St. John's University"
"nate mcmillan",1987,1998,"G-F","6-5",195,"August 3, 1964","North Carolina State University"
"tom mcmillen",1976,1986,"F-C","6-11",215,"May 26, 1952","University of Maryland"
"jim mcmillian",1971,1979,"F","6-5",215,"March 11, 1948","Columbia University"
"shellie mcmillon",1959,1962,"F","6-5",205,"March 11, 1936","Bradley University"
"mal mcmullen",1950,1951,"F-C","6-5",210,"August 23, 1927","Xavier University"
"chet mcnabb",1948,1948,"F","6-2",200,"September 19, 1920","Arizona State University"
"mark mcnamara",1983,1991,"C-F","6-11",235,"June 8, 1959","Santa Clara University, University of California"
"joe mcnamee",1951,1952,"F-C","6-6",210,"September 24, 1926","University of San Francisco"
"jerel mcneal",2015,2015,"G","6-3",200,"June 1, 1987","Marquette University"
"chris mcnealy",1986,1988,"F","6-7",210,"July 15, 1961","San Jose State University"
"bob mcneill",1961,1962,"G","6-1",170,"October 22, 1938","Saint Joseph's University"
"larry mcneill",1974,1979,"F-C","6-9",195,"January 31, 1951","Marquette University"
"carl mcnulty",1955,1955,"G","6-3",185,"February 14, 1930","Purdue University"
"paul mcpherson",2001,2001,"G","6-4",210,"July 3, 1978","DePaul University"
"roy mcpipe",1975,1975,"G","6-3",205,"May 5, 1950","Montana State University, Billings"
"cozell mcqueen",1987,1987,"F","6-11",235,"January 18, 1962","North Carolina State University"
"jordan mcrae",2016,2017,"G","6-6",185,"March 28, 1991","University of Tennessee"
"thales mcreynolds",1966,1966,"G","6-3",185,"June 8, 1943","Miles College"
"josh mcroberts",2008,2018,"F","6-10",240,"February 28, 1987","Duke University"
"eric mcwilliams",1973,1973,"F","6-8",200,"April 18, 1950","California State University, Long Beach"
"george mearns",1947,1948,"F","6-3",175,"April 18, 1922","University of Rhode Island"
"stanislav medvedenko",2001,2007,"F","6-10",250,"April 4, 1979",""
"darnell mee",1994,1995,"G","6-5",175,"February 11, 1971","Western Kentucky University"
"jodie meeks",2010,2018,"G","6-4",210,"August 21, 1987","University of Kentucky"
"cliff meely",1972,1976,"F-C","6-8",215,"July 10, 1947","University of Colorado"
"scott meents",1990,1991,"F","6-10",225,"January 4, 1964","University of Illinois at Urbana-Champaign"
"dick mehen",1950,1952,"F-C","6-5",195,"May 20, 1922","University of Tennessee"
"monk meineke",1953,1958,"F-C","6-7",208,"October 30, 1930","University of Dayton"
"carl meinhold",1948,1949,"G-F","6-2",185,"March 29, 1926","Long Island University"
"salah mejri",2016,2018,"C","7-1",245,"June 15, 1986",""
"gal mekel",2014,2015,"G","6-3",191,"March 4, 1988","Wichita State University"
"bill melchionni",1967,1976,"G","6-1",165,"October 19, 1944","Villanova University"
"gary melchionni",1974,1975,"G","6-2",185,"January 19, 1951","Duke University"
"fab melo",2013,2013,"C","7-0",255,"June 20, 1990","Syracuse University"
"ed melvin",1947,1947,"G","5-9",170,"February 13, 1916","Duquesne University"
"dean meminger",1972,1977,"G","6-0",175,"May 13, 1948","Marquette University"
"chuck mencel",1956,1957,"G","6-0",168,"April 21, 1933","University of Minnesota"
"john mengelt",1972,1981,"G","6-2",195,"October 16, 1949","Auburn University"
"ken menke",1950,1950,"G","6-0",168,"October 2, 1922","University of Illinois at Urbana-Champaign"
"pops mensah bonsu",2007,2011,"F","6-9",240,"September 7, 1983","George Washington University"
"dewitt menyard",1968,1968,"C","6-10",210,"May 24, 1944","University of Utah"
"ron mercer",1998,2005,"G-F","6-7",210,"May 18, 1976","University of Kentucky"
"joe meriweather",1976,1985,"C-F","6-10",215,"October 26, 1953","Southern Illinois University"
"porter meriwether",1963,1963,"G","6-2",180,"March 16, 1940","Tennessee State University"
"tom meschery",1962,1971,"F","6-6",215,"October 26, 1938","Saint Mary's College of California"
"bill meyer",1968,1968,"G","6-3",195,"August 30, 1943","Hiram College"
"loren meyer",1996,1999,"C","6-10",257,"December 30, 1972","Iowa State University"
"dave meyers",1976,1980,"F-C","6-8",215,"April 21, 1953","University of California, Los Angeles"
"stan miasek",1947,1953,"C-F","6-5",210,"September 19, 1923",""
"larry micheaux",1984,1985,"F","6-9",220,"March 24, 1960","University of Houston"
"jordan mickey",2016,2018,"F","6-8",235,"July 9, 1994","Louisiana State University"
"khris middleton",2013,2018,"F-G","6-8",234,"August 12, 1991","Texas A&M University"
"red mihalik",1947,1947,"G","6-0",180,"September 22, 1916",""
"chris mihm",2001,2009,"C","7-0",265,"July 16, 1979","University of Texas at Austin"
"ed mikan",1949,1954,"C-F","6-8",230,"October 20, 1925","DePaul University"
"george mikan",1949,1956,"C","6-10",245,"June 18, 1924","DePaul University"
"larry mikan",1971,1971,"F","6-7",210,"April 8, 1948","University of Minnesota"
"vern mikkelsen",1950,1959,"F-C","6-7",230,"October 21, 1928","Hamline University"
"al miksis",1950,1950,"C","6-7",210,"February 2, 1928","Western Illinois University"
"aaron miles",2006,2006,"G","6-1",175,"April 13, 1983","University of Kansas"
"cj miles",2006,2018,"G-F","6-6",225,"April 18, 1987",""
"darius miles",2001,2009,"F","6-9",210,"October 9, 1981",""
"eddie miles",1964,1972,"G-F","6-4",195,"July 5, 1940","Seattle University"
"marko milic",1998,1999,"G-F","6-6",235,"May 7, 1977",""
"darko milicic",2004,2013,"F-C","7-0",250,"June 20, 1985",""
"nat militzok",1947,1947,"F","6-3",195,"May 3, 1923","Cornell University"
"andre miller",2000,2016,"G","6-3",200,"March 19, 1976","University of Utah"
"anthony miller",1995,2005,"F","6-9",225,"October 22, 1971","Michigan State University"
"bill miller",1949,1949,"F","6-3",190,"November 24, 1924","University of North Carolina"
"bob miller",1984,1984,"F","6-10",230,"July 9, 1956","University of Cincinnati"
"brad miller",1999,2012,"C","6-11",244,"April 12, 1976","Purdue University"
"darius miller",2013,2018,"F","6-8",235,"March 21, 1990","University of Kentucky"
"dick miller",1981,1981,"F","6-6",215,"April 26, 1958","University of Toledo"
"eddie miller",1953,1954,"C-F","6-8",225,"June 18, 1931","Syracuse University"
"harry miller",1947,1947,"C-F","6-4",230,"July 28, 1923","University of North Carolina"
"jay miller",1968,1971,"F","6-5",205,"July 19, 1943","University of Notre Dame"
"larry miller",1969,1975,"G-F","6-4",190,"April 4, 1946","University of North Carolina"
"malcolm miller",2018,2018,"F","6-7",210,"March 6, 1993","College of the Holy Cross"
"mike miller",2001,2017,"F-G","6-8",218,"February 19, 1980","University of Florida"
"oliver miller",1993,2004,"C","6-9",280,"April 6, 1970","University of Arkansas"
"quincy miller",2013,2015,"F","6-9",210,"November 18, 1992","Baylor University"
"reggie miller",1988,2005,"G-F","6-7",185,"August 24, 1965","University of California, Los Angeles"
"walt miller",1947,1947,"F","6-2",190,"July 30, 1915","Duquesne University"
"chris mills",1994,2003,"F","6-6",215,"January 25, 1970","University of Kentucky, University of Arizona"
"john mills",1947,1947,"C-F","6-8",203,"September 7, 1919","Western Kentucky University"
"patty mills",2010,2018,"G","6-0",185,"August 11, 1988","Saint Mary's College of California"
"terry mills",1991,2001,"F","6-10",230,"December 21, 1967","University of Michigan"
"elijah millsap",2015,2017,"G-F","6-6",225,"August 12, 1987","University of Louisiana at Lafayette, University of Alabama at Birmingham"
"paul millsap",2007,2018,"F","6-8",246,"February 10, 1985","Louisiana Tech University"
"harold miner",1993,1996,"G","6-5",210,"May 5, 1971","University of Southern California"
"yao ming",2003,2011,"C","7-6",310,"September 12, 1980",""
"dirk minniefield",1986,1988,"G","6-3",180,"January 17, 1961","University of Kentucky"
"dave minor",1952,1953,"G-F","6-2",185,"February 23, 1922","University of California, Los Angeles"
"greg minor",1995,1999,"G-F","6-6",210,"September 18, 1971","University of Louisville"
"mark minor",1973,1973,"F","6-6",215,"May 14, 1950","Ohio State University"
"nikola mirotic",2015,2018,"F","6-10",220,"February 11, 1991",""
"wat misaka",1948,1948,"G","5-7",150,"December 21, 1923","University of Utah"
"jason miskiri",2000,2000,"G","6-2",175,"August 19, 1975","George Mason University"
"donovan mitchell",2018,2018,"G","6-3",211,"September 7, 1996","University of Louisville"
"leland mitchell",1968,1968,"G","6-4",210,"February 22, 1941","Mississippi State University"
"mike mitchell",1979,1988,"F","6-7",215,"January 1, 1956","Auburn University"
"murray mitchell",1950,1950,"C","6-6",NA,"March 19, 1923","Sam Houston State University"
"sam mitchell",1990,2002,"F","6-6",210,"September 2, 1963","Mercer University"
"todd mitchell",1989,1989,"F","6-7",205,"July 26, 1966","Purdue University"
"tony mitchell",2014,2014,"F","6-6",216,"August 7, 1989","University of Alabama"
"tony mitchell",2014,2014,"F","6-8",235,"April 7, 1992","University of North Texas"
"naz mitrou long",2018,2018,"G","6-4",209,"August 3, 1993","Iowa State University"
"steve mix",1970,1983,"F","6-7",215,"December 30, 1947","University of Toledo"
"bill mlkvy",1953,1953,"F","6-4",190,"January 19, 1931","Temple University"
"cuttino mobley",1999,2009,"G","6-4",190,"September 1, 1975","University of Rhode Island"
"eric mobley",1995,1997,"C","6-11",235,"February 1, 1970","University of Pittsburgh"
"doug moe",1968,1972,"F-G","6-5",215,"September 21, 1938","University of North Carolina"
"larry moffett",1978,1978,"F","6-8",210,"November 5, 1954","University of Nevada, Las Vegas"
"leo mogus",1947,1951,"F-C","6-4",190,"April 13, 1921","Youngstown State University"
"nazr mohammed",1999,2016,"C","6-10",221,"September 5, 1977","University of Kentucky"
"jerome moiso",2001,2005,"F-C","6-10",235,"June 15, 1978","University of California, Los Angeles"
"paul mokeski",1980,1991,"C-F","7-0",250,"January 3, 1957","University of Kansas"
"jack molinas",1954,1954,"F","6-6",200,"October 31, 1931","Columbia University"
"wayne molis",1967,1968,"F","6-8",230,"April 17, 1943","Lewis University"
"sidney moncrief",1980,1991,"G","6-3",180,"September 21, 1957","University of Arkansas"
"eric money",1975,1980,"G","6-0",170,"February 6, 1955","University of Arizona"
"sergei monia",2006,2006,"F","6-8",220,"April 15, 1983",""
"malik monk",2018,2018,"G","6-3",200,"February 4, 1998","University of Kentucky"
"earl monroe",1968,1980,"G","6-3",185,"November 21, 1944","Winston-Salem State University"
"greg monroe",2011,2018,"C-F","6-11",265,"June 4, 1990","Georgetown University"
"rodney monroe",1992,1992,"G","6-3",185,"April 16, 1968","North Carolina State University"
"luis montero",2016,2018,"G","6-7",185,"April 6, 1993","Westchester CC"
"howie montgomery",1963,1963,"F","6-5",220,"August 22, 1940","University of Texas-Pan American"
"eric montross",1995,2002,"C","7-0",270,"September 23, 1971","University of North Carolina"
"jamario moon",2008,2012,"F","6-8",205,"June 13, 1980","Meridian Community College"
"jim mooney",1953,1953,"F","6-5",215,"July 8, 1930","Villanova University"
"andre moore",1988,1988,"F","6-9",215,"July 2, 1964","Loyola University of Chicago"
"ben moore",2018,2018,"F","6-7",203,"May 13, 1995","Southern Methodist University"
"etwaun moore",2012,2018,"G","6-4",191,"February 28, 1989","Purdue University"
"gene moore",1969,1975,"C-F","6-9",225,"July 29, 1945","Saint Louis University"
"jackie moore",1955,1957,"F","6-5",180,"September 24, 1932","La Salle University"
"johnny moore",1981,1990,"G","6-1",175,"March 3, 1958","University of Texas at Austin"
"larry moore",1968,1968,"F","6-7",215,"",""
"lowes moore",1981,1983,"G","6-1",170,"May 5, 1957","West Virginia University"
"mikki moore",1999,2012,"C","6-11",225,"November 4, 1975","University of Nebraska"
"otto moore",1969,1977,"C-F","6-11",205,"August 27, 1946","University of Texas-Pan American"
"richard moore",1968,1968,"G","6-2",190,"","Hiram Scott College"
"ron moore",1988,1988,"C","7-0",260,"January 16, 1962","Salem International University, West Virginia State University"
"tracy moore",1992,1997,"G-F","6-4",200,"December 28, 1965","University of Tulsa"
"eric moreland",2015,2018,"F-C","6-10",238,"December 24, 1991","Oregon State University"
"jackie moreland",1961,1970,"F-G","6-7",215,"March 11, 1938","Louisiana Tech University"
"guy morgan",1983,1983,"G","6-8",205,"August 23, 1960","Wake Forest University"
"rex morgan",1971,1972,"G","6-5",190,"October 27, 1948","Jacksonville University"
"elmore morgenthaler",1947,1949,"C","6-9",230,"August 3, 1922","New Mexico Institute of Mining and Technology"
"darren morningstar",1994,1994,"C","6-10",235,"April 22, 1969","United States Naval Academy, University of Pittsburgh"
"chris morris",1989,1999,"F","6-8",210,"January 20, 1966","Auburn University"
"darius morris",2012,2015,"G","6-4",190,"January 3, 1991","University of Michigan"
"isaiah morris",1993,1993,"F","6-8",229,"April 2, 1969","University of Arkansas"
"jaylen morris",2018,2018,"G","6-5",185,"September 19, 1995","Molloy"
"marcus morris",2012,2018,"F","6-9",235,"September 2, 1989","University of Kansas"
"markieff morris",2012,2018,"F","6-10",245,"September 2, 1989","University of Kansas"
"max morris",1950,1950,"F-C","6-2",195,"March 14, 1925","Northwestern University"
"monte morris",2018,2018,"G","6-3",175,"June 27, 1995","Iowa State University"
"randolph morris",2007,2010,"C","6-10",266,"January 2, 1986","University of Kentucky"
"terence morris",2002,2006,"F","6-9",221,"January 11, 1979","University of Maryland"
"adam morrison",2007,2010,"F","6-8",205,"July 19, 1984","Gonzaga University"
"john morrison",1968,1968,"G","6-2",190,"May 2, 1945","Canisius College"
"mike morrison",1990,1990,"G","6-4",195,"August 16, 1967","Loyola College in Maryland"
"red morrison",1955,1958,"F-C","6-8",220,"April 26, 1932","University of Idaho"
"anthony morrow",2009,2017,"G","6-5",210,"September 27, 1985","Georgia Institute of Technology"
"dwayne morton",1995,1995,"F","6-7",195,"August 8, 1971","University of Louisville"
"john morton",1990,1992,"G","6-3",180,"May 18, 1967","Seton Hall University"
"richard morton",1989,1989,"G","6-3",190,"February 2, 1966","California State University, Fullerton"
"glenn mosley",1978,1979,"F","6-8",195,"December 26, 1955","Seton Hall University"
"perry moss",1986,1987,"G","6-2",185,"November 11, 1958","Northeastern University"
"lawrence moten",1996,1998,"G","6-5",185,"March 25, 1972","Syracuse University"
"donatas motiejunas",2013,2017,"F-C","7-0",222,"September 20, 1990",""
"johnathan motley",2018,2018,"F","6-9",238,"May 4, 1995","Baylor University"
"hanno mottola",2001,2002,"C","6-11",247,"September 9, 1976","University of Utah"
"arnett moultrie",2013,2014,"F","6-11",249,"November 18, 1990","University of Texas at El Paso, Mississippi State University"
"rick mount",1971,1975,"G","6-3",175,"January 5, 1947","Purdue University"
"alonzo mourning",1993,2008,"C","6-10",240,"February 8, 1970","Georgetown University"
